DATE,PX_LAST,PX_LAST
1/1/2017,0.85,2.45
1/2/2017,0.85,2.45
1/3/2017,0.89,2.45
1/4/2017,0.87,2.46
1/5/2017,0.83,2.37
1/6/2017,0.85,2.42
1/7/2017,0.85,2.42
1/8/2017,0.85,2.42
1/9/2017,0.82,2.38
1/10/2017,0.82,2.38
1/11/2017,0.82,2.38
1/12/2017,0.81,2.36
1/13/2017,0.82,2.4
1/14/2017,0.82,2.4
1/15/2017,0.82,2.4
1/16/2017,0.82,2.4
1/17/2017,0.8,2.33
1/18/2017,0.82,2.42
1/19/2017,0.83,2.47
1/20/2017,0.82,2.48
1/21/2017,0.82,2.48
1/22/2017,0.82,2.48
1/23/2017,0.79,2.41
1/24/2017,0.81,2.47
1/25/2017,0.82,2.53
1/26/2017,0.82,2.51
1/27/2017,0.82,2.49
1/28/2017,0.82,2.49
1/29/2017,0.82,2.49
1/30/2017,0.81,2.49
1/31/2017,0.84,2.45
2/1/2017,0.83,2.48
2/2/2017,0.84,2.48
2/3/2017,0.82,2.49
2/4/2017,0.82,2.49
2/5/2017,0.82,2.49
2/6/2017,0.79,2.42
2/7/2017,0.8,2.4
2/8/2017,0.79,2.34
2/9/2017,0.8,2.4
2/10/2017,0.81,2.41
2/11/2017,0.81,2.41
2/12/2017,0.81,2.41
2/13/2017,0.82,2.43
2/14/2017,0.84,2.47
2/15/2017,0.86,2.51
2/16/2017,0.82,2.45
2/17/2017,0.82,2.42
2/18/2017,0.82,2.42
2/19/2017,0.82,2.42
2/20/2017,0.82,2.42
2/21/2017,0.83,2.43
2/22/2017,0.82,2.42
2/23/2017,0.81,2.38
2/24/2017,0.8,2.31
2/25/2017,0.8,2.31
2/26/2017,0.8,2.31
2/27/2017,0.81,2.36
2/28/2017,0.88,2.36
3/1/2017,0.92,2.46
3/2/2017,0.98,2.49
3/3/2017,0.98,2.49
3/4/2017,0.98,2.49
3/5/2017,0.98,2.49
3/6/2017,0.97,2.49
3/7/2017,1.02,2.52
3/8/2017,1.03,2.57
3/9/2017,1.04,2.6
3/10/2017,1.03,2.58
3/11/2017,1.03,2.58
3/12/2017,1.03,2.58
3/13/2017,1.06,2.62
3/14/2017,1.06,2.6
3/15/2017,1.02,2.51
3/16/2017,1.01,2.53
3/17/2017,1,2.5
3/18/2017,1,2.5
3/19/2017,1,2.5
3/20/2017,1.01,2.47
3/21/2017,1,2.43
3/22/2017,0.99,2.4
3/23/2017,0.99,2.41
3/24/2017,1,2.4
3/25/2017,1,2.4
3/26/2017,1,2.4
3/27/2017,1,2.38
3/28/2017,1.03,2.42
3/29/2017,1.04,2.39
3/30/2017,1.03,2.42
3/31/2017,1.03,2.4
4/1/2017,1.03,2.4
4/2/2017,1.03,2.4
4/3/2017,1.02,2.35
4/4/2017,1.03,2.36
4/5/2017,1.03,2.34
4/6/2017,1.05,2.34
4/7/2017,1.08,2.38
4/8/2017,1.08,2.38
4/9/2017,1.08,2.38
4/10/2017,1.07,2.37
4/11/2017,1.05,2.32
4/12/2017,1.04,2.28
4/13/2017,1.03,2.24
4/14/2017,1.03,2.24
4/15/2017,1.03,2.24
4/16/2017,1.03,2.24
4/17/2017,1.04,2.26
4/18/2017,1.04,2.26
