DATE,PX_LAST,PX_LAST
3/26/2017,1,2.4
3/27/2017,1,2.38
3/28/2017,1.03,2.42
3/29/2017,1.04,2.39
3/30/2017,1.03,2.42
3/31/2017,1.03,2.4
4/1/2017,1.03,2.4
4/2/2017,1.03,2.4
4/3/2017,1.02,2.35
4/4/2017,1.03,2.36
4/5/2017,1.03,2.34
4/6/2017,1.05,2.34
4/7/2017,1.08,2.38
4/8/2017,1.08,2.38
4/9/2017,1.08,2.38
4/10/2017,1.07,2.37
4/11/2017,1.05,2.32
4/12/2017,1.04,2.28
4/13/2017,1.03,2.24
4/14/2017,1.03,2.24
4/15/2017,1.03,2.24
4/16/2017,1.03,2.24
4/17/2017,1.04,2.26
4/18/2017,1.04,2.26
